group_ann	original	description	in.heating_fuel	in.hvac_cooling_type	upgrade	shape_ts_cooling	shape_ts_heating	version
res_hvac_ann_81	Other fossil heating no cooling	Other fossil heating no cooling to ultra high eff ASHP + light env	Propane	None	8	res_cooling_ts_8	res_heating_ts_10	7/19/24
res_hvac_ann_81	Other fossil heating no cooling	Other fossil heating no cooling to ultra high eff ASHP + light env	Other Fuel	None	8	res_cooling_ts_8	res_heating_ts_10	7/19/24
res_hvac_ann_82	Other fossil heating no cooling	Other fossil heating no cooling to ES ASHP existing backup + light env	Fuel Oil	None	9	res_cooling_ts_8	res_heating_ts_11	7/19/24
res_hvac_ann_82	Other fossil heating no cooling	Other fossil heating no cooling to ES ASHP existing backup + light env	Propane	None	9	res_cooling_ts_8	res_heating_ts_11	7/19/24
res_hvac_ann_82	Other fossil heating no cooling	Other fossil heating no cooling to ES ASHP existing backup + light env	Other Fuel	None	9	res_cooling_ts_8	res_heating_ts_11	7/19/24
res_hvac_ann_83	Other fossil heating no cooling	Other fossil heating no cooling to GSHP + light env	Fuel Oil	None	10	res_cooling_ts_9	res_heating_ts_12	7/19/24
res_hvac_ann_83	Other fossil heating no cooling	Other fossil heating no cooling to GSHP + light env	Propane	None	10	res_cooling_ts_9	res_heating_ts_12	7/19/24
res_hvac_ann_83	Other fossil heating no cooling	Other fossil heating no cooling to GSHP + light env	Other Fuel	None	10	res_cooling_ts_9	res_heating_ts_12	7/19/24
res_hvac_ann_84	Delivered fossil heat	Delivered fossil heat	Other Fuel	unused	unused	res_cooling_ts_0	res_heating_ts_2	7/19/24
res_hvac_ann_9	ER heating + AC	ER heating + AC to GSHP + light env	Electricity	Central AC	10	res_cooling_ts_9	res_heating_ts_12	7/19/24
res_hvac_ann_9	ER heating + AC	ER heating + AC to GSHP + light env	Electricity	Room AC	10	res_cooling_ts_9	res_heating_ts_12	7/19/24
res_hvac_ann_32	HP heating	HP heating	Electricity	Ducted Heat Pump	0	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_33	HP heating	HP heating to ES ASHP	Electricity	Ducted Heat Pump	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_34	HP heating	HP heating to high eff ASHP	Electricity	Ducted Heat Pump	2	res_cooling_ts_3	res_heating_ts_4	7/19/24
res_hvac_ann_35	HP heating	HP heating to ultra high eff ASHP	Electricity	Ducted Heat Pump	3	res_cooling_ts_4	res_heating_ts_5	7/19/24
res_hvac_ann_36	HP heating	HP heating to ES ASHP existing backup	Electricity	Ducted Heat Pump	4	res_cooling_ts_4	res_heating_ts_6	7/19/24
res_hvac_ann_37	HP heating	HP heating to GSHP	Electricity	Ducted Heat Pump	5	res_cooling_ts_5	res_heating_ts_7	7/19/24
res_hvac_ann_38	HP heating	HP heating to ES ASHP + light env	Electricity	Ducted Heat Pump	6	res_cooling_ts_6	res_heating_ts_8	7/19/24
res_hvac_ann_39	HP heating	HP heating to high eff ASHP + light env	Electricity	Ducted Heat Pump	7	res_cooling_ts_7	res_heating_ts_9	7/19/24
res_hvac_ann_40	HP heating	HP heating to ultra high eff ASHP + light env	Electricity	Ducted Heat Pump	8	res_cooling_ts_8	res_heating_ts_10	7/19/24
res_hvac_ann_41	HP heating	HP heating to ES ASHP existing backup + light env	Electricity	Ducted Heat Pump	9	res_cooling_ts_8	res_heating_ts_11	7/19/24
res_hvac_ann_42	HP heating	HP heating to GSHP + light env	Electricity	Ducted Heat Pump	10	res_cooling_ts_9	res_heating_ts_12	7/19/24
res_hvac_ann_85	No heating + AC	No heating + AC	None	Central AC	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_85	No heating + AC	No heating + AC	None	Room AC	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_85	No heating + AC	No heating + AC	Other Fuel	Central AC	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_85	No heating + AC	No heating + AC	Other Fuel	Room AC	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
