sector	in.state	month	fuel	calibration_multiplier
com	LA	7	Natural Gas	0.8590987147764519
com	LA	8	Electric	1.001428038294131
com	LA	8	Natural Gas	0.9054846368876189
com	LA	9	Electric	1.0722460917322123
com	LA	9	Natural Gas	0.9324546791133285
com	LA	10	Electric	1.0678292807467442
com	LA	10	Natural Gas	0.9283028172979613
com	LA	11	Electric	1.0345446825043854
com	LA	11	Natural Gas	0.8323740811298898
com	LA	12	Electric	1.0344009293770349
com	LA	12	Natural Gas	0.8730890883018653
com	MA	1	Electric	0.9181539092957591
com	MA	1	Natural Gas	1.252324001574236
com	MA	2	Electric	1.0651290922807253
com	MA	2	Natural Gas	1.6915417756628863
com	MA	3	Electric	0.9796219249891294
com	MA	3	Natural Gas	1.254935815171382
com	MA	4	Electric	0.985435763906804
com	MA	4	Natural Gas	1.0904550110871978
com	MA	5	Electric	0.9620113755813614
com	MA	5	Natural Gas	0.9372716902944814
com	MA	6	Electric	1.0192580074410589
com	MA	6	Natural Gas	0.7894612003616238
com	MA	7	Electric	0.9740308446390713
com	MA	7	Natural Gas	0.7964534623282078
com	MA	8	Electric	0.9381829997398536
com	MA	8	Natural Gas	0.8030495102015569
com	MA	9	Electric	1.0133583365895775
com	MA	9	Natural Gas	0.8933060851011623
com	MA	10	Electric	0.936914900515067
com	MA	10	Natural Gas	0.9743009959320617
com	MA	11	Electric	0.9050492572110688
com	MA	11	Natural Gas	1.2062633625950636
com	MA	12	Electric	0.9116824095308935
com	MA	12	Natural Gas	1.3752434118022347
com	MD	1	Electric	0.9078791533020112
com	MD	1	Natural Gas	0.8087019401415596
com	MD	2	Electric	1.036140373527311
com	MD	2	Natural Gas	1.225124266929272
com	MD	3	Electric	0.9520419836396365
com	MD	3	Natural Gas	0.9458621753109389
com	MD	4	Electric	0.9717376986552239
com	MD	4	Natural Gas	1.4594792998388197
com	MD	5	Electric	0.9879269773257514
com	MD	5	Natural Gas	2.4845172304354413
com	MD	6	Electric	1.0590047598443784
com	MD	6	Natural Gas	2.1395904259006424
com	MD	7	Electric	1.0804558874552803
com	MD	7	Natural Gas	2.073370528732704
com	MD	8	Electric	1.018378594217987
com	MD	8	Natural Gas	2.0338867760748593
com	MD	9	Electric	0.9941855899784692
com	MD	9	Natural Gas	2.239354506490104
com	MD	10	Electric	0.9823248228254226
com	MD	10	Natural Gas	1.935112638374634
com	MD	11	Electric	0.9496660139930464
com	MD	11	Natural Gas	1.1719758441969041
com	MD	12	Electric	0.994143931219817
com	MD	12	Natural Gas	1.2202128522992695
com	ME	1	Electric	0.8720676638769639
com	ME	1	Natural Gas	0.7498129185203399
com	ME	2	Electric	0.98657270332839
com	ME	2	Natural Gas	0.8405488365646899
com	ME	3	Electric	0.9603912642508773
com	ME	3	Natural Gas	0.6720214219880016
com	ME	4	Electric	0.9366180553776461
com	ME	4	Natural Gas	0.5046043268747376
com	ME	5	Electric	0.8863213055512947
com	ME	5	Natural Gas	0.3547757091901033
com	ME	6	Electric	0.9097724643604586
com	ME	6	Natural Gas	0.2572838348426038
com	ME	7	Electric	0.8565633110795661
com	ME	7	Natural Gas	0.23645821989455645
com	ME	8	Electric	0.8652852229547738
com	ME	8	Natural Gas	0.24055615968408867
com	ME	9	Electric	0.9625335426565925
com	ME	9	Natural Gas	0.27328985466467387
com	ME	10	Electric	0.8662367821947466
com	ME	10	Natural Gas	0.37901975383869785
com	ME	11	Electric	0.7952866815907779
com	ME	11	Natural Gas	0.5797100206090555
com	ME	12	Electric	0.8521337234561452
com	ME	12	Natural Gas	0.7147081325865089
com	MI	1	Electric	1.1445859277268604
com	MI	1	Natural Gas	0.8747237528910613
com	MI	2	Electric	1.3276405170073293
com	MI	2	Natural Gas	1.1688858890561433
com	MI	3	Electric	1.2750204261754543
com	MI	3	Natural Gas	1.062511856211096
com	MI	4	Electric	1.2160935754493494
com	MI	4	Natural Gas	0.9555197910365028
com	MI	5	Electric	1.0715858013163142
com	MI	5	Natural Gas	1.4195555085906928
com	MI	6	Electric	1.0667277075539292
com	MI	6	Natural Gas	1.0127059591210732
com	MI	7	Electric	1.123815442513162
com	MI	7	Natural Gas	0.9370063433652074
com	MI	8	Electric	1.0944364663949198
com	MI	8	Natural Gas	1.0191700497738665
com	MI	9	Electric	1.0835844225624878
com	MI	9	Natural Gas	1.0299022218586613
