meas	Scout_end_use	original_ann	measure_ann	original_ts	measure_ts	sector	original_desc	measure_desc	original_desc_simple	measure_desc_simple
(C) ESTAR HP TS (Resist. Heat)	Heating (Equip.)	com_hvac_ann_35	com_hvac_ann_36	com_heating_ts_7	com_heating_ts_1	com	ER + RTAC or chiller	ASHP, ESTAR	ER	ASHP, ESTAR
(C) ESTAR HP TS (Resist. Heat)	Ventilation	com_hvac_ann_35	com_hvac_ann_36	com_ventilation_7	com_ventilation_1	com	ER + RTAC or chiller	ASHP, ESTAR	RTAC or chiller	ASHP, ESTAR
(C) ESTAR HP TS (RTU, Resist. Heat)	Cooling (Equip.)	com_hvac_ann_35	com_hvac_ann_36	com_cooling_ts_9	com_cooling_ts_1	com	ER + RTAC or chiller	ASHP, ESTAR	RTAC or chiller	ASHP, ESTAR
(C) ESTAR HP TS (RTU, Resist. Heat)	Heating (Equip.)	com_hvac_ann_35	com_hvac_ann_36	com_heating_ts_7	com_heating_ts_1	com	ER + RTAC or chiller	ASHP, ESTAR	ER	ASHP, ESTAR
(C) ESTAR HPWH FS	Water Heating	com_wh_ann_1	com_wh_ann_1	com_wh_ts_1	com_wh_ts_1	com	Water heater, fossil	Water heater, ESTAR HP	Water heater, fossil	Water heater, ESTAR HP
(C) ESTAR HPWH TS	Water Heating	com_wh_ann_2	com_wh_ann_2	com_wh_ts_1	com_wh_ts_1	com	Water heater, resistance	Water heater, ESTAR HP	Water heater, resistance	Water heater, ESTAR HP
(C) Induction Range FS	Cooking	com_cook_ann_1	com_cook_ann_1	com_cook_ts_1	com_cook_ts_1	com	Range, fossil	Range, induction	Range, fossil	Range, electric
(C) Min. Efficiency HP FS (NG Furnace)	Cooling (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_cooling_ts_7	com_cooling_ts_7	com	NG furnace + central or room AC	ASHP, minimum efficiency	AC	ASHP, minimum efficiency
(C) Min. Efficiency HP FS (NG Furnace)	Heating (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_heating_ts_8	com_heating_ts_1	com	NG furnace + central or room AC	ASHP, minimum efficiency	fossil	ASHP, minimum efficiency
(C) Min. Efficiency HP FS (NG Furnace)	Ventilation	com_hvac_ann_12	com_hvac_ann_12	com_ventilation_6	com_ventilation_6	com	NG furnace + central or room AC	ASHP, minimum efficiency	AC	ASHP, minimum efficiency
(C) Min. Efficiency HP FS (Other Fossil Furnace)	Cooling (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_cooling_ts_7	com_cooling_ts_7	com	Other fossil furnace + central or room AC	ASHP, minimum efficiency	AC	ASHP, minimum efficiency
(C) Min. Efficiency HP FS (Other Fossil Furnace)	Heating (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_heating_ts_8	com_heating_ts_1	com	Other fossil furnace + central or room AC	ASHP, minimum efficiency	fossil	ASHP, minimum efficiency
(C) Min. Efficiency HP FS (Other Fossil Furnace)	Ventilation	com_hvac_ann_24	com_hvac_ann_24	com_ventilation_6	com_ventilation_6	com	Other fossil furnace + central or room AC	ASHP, minimum efficiency	AC	ASHP, minimum efficiency
(C) Min. Efficiency HP FS (RTU, NG Heat)	Cooling (Equip.)	com_hvac_ann_16	com_hvac_ann_17	com_cooling_ts_9	com_cooling_ts_1	com	NG RTU + RTAC or chiller	ASHP, minimum efficiency	RTAC or chiller	ASHP, minimum efficiency
(C) Min. Efficiency HP FS (RTU, NG Heat)	Heating (Equip.)	com_hvac_ann_16	com_hvac_ann_17	com_heating_ts_8	com_heating_ts_1	com	NG RTU + RTAC or chiller	ASHP, minimum efficiency	fossil	ASHP, minimum efficiency
(C) Min. Efficiency HP FS (RTU, NG Heat)	Ventilation	com_hvac_ann_16	com_hvac_ann_17	com_ventilation_5	com_ventilation_1	com	NG RTU + RTAC or chiller	ASHP, minimum efficiency	RTAC or chiller	ASHP, minimum efficiency
(C) Min. Efficiency HP FS (RTU, Other Fossil Heat)	Cooling (Equip.)	com_hvac_ann_28	com_hvac_ann_29	com_cooling_ts_9	com_cooling_ts_1	com	Other fossil RTU + RTAC or chiller	ASHP, minimum efficiency	RTAC or chiller	ASHP, minimum efficiency
(C) Min. Efficiency HP FS (RTU, Other Fossil Heat)	Heating (Equip.)	com_hvac_ann_28	com_hvac_ann_29	com_heating_ts_8	com_heating_ts_1	com	Other fossil RTU + RTAC or chiller	ASHP, minimum efficiency	fossil	ASHP, minimum efficiency
(C) Min. Efficiency HP FS (RTU, Other Fossil Heat)	Ventilation	com_hvac_ann_28	com_hvac_ann_29	com_ventilation_5	com_ventilation_1	com	Other fossil RTU + RTAC or chiller	ASHP, minimum efficiency	RTAC or chiller	ASHP, minimum efficiency
(C) Ref. Case ASHP	Cooling (Equip.)	com_hvac_ann_1	com_hvac_ann_1	com_cooling_ts_1	com_cooling_ts_1	com	ASHP, reference	ASHP, reference	ASHP, reference	ASHP, reference
(C) Ref. Case ASHP	Heating (Equip.)	com_hvac_ann_1	com_hvac_ann_1	com_heating_ts_1	com_heating_ts_1	com	ASHP, reference	ASHP, reference	ASHP, reference	ASHP, reference
(C) Ref. Case ASHP (RTU)	Cooling (Equip.)	com_hvac_ann_1	com_hvac_ann_1	com_cooling_ts_1	com_cooling_ts_1	com	ASHP, reference	ASHP, reference	ASHP, reference	ASHP, reference
(C) Ref. Case ASHP (RTU)	Heating (Equip.)	com_hvac_ann_1	com_hvac_ann_1	com_heating_ts_1	com_heating_ts_1	com	ASHP, reference	ASHP, reference	ASHP, reference	ASHP, reference
(C) Ref. Case ASHP (RTU)	Ventilation	com_hvac_ann_1	com_hvac_ann_1	com_ventilation_9	com_ventilation_9	com	ASHP, reference	ASHP, reference	ASHP, reference	ASHP, reference
(C) Ref. Case Elec. Boiler FS (NG Boiler)	Cooling (Equip.)	com_hvac_ann_9	com_hvac_ann_10	com_cooling_ts_9	com_cooling_ts_9	com	NG boiler + RTAC or chiller	Boiler, electric	RTAC or chiller	Boiler, electric
(C) Ref. Case Elec. Boiler FS (NG Boiler)	Heating (Equip.)	com_hvac_ann_9	com_hvac_ann_10	com_heating_ts_9	com_heating_ts_4	com	NG boiler + RTAC or chiller	Boiler, electric	fossil	Boiler, electric
(C) Ref. Case Elec. Boiler FS (NG Boiler)	Ventilation	com_hvac_ann_9	com_hvac_ann_10	com_ventilation_4	com_ventilation_4	com	NG boiler + RTAC or chiller	Boiler, electric	RTAC or chiller	Boiler, electric
(C) Ref. Case Elec. Boiler FS (Other Fossil Boiler)	Cooling (Equip.)	com_hvac_ann_22	com_hvac_ann_22	com_cooling_ts_9	com_cooling_ts_9	com	Other fossil boiler + RTAC or chiller	Boiler, electric	RTAC or chiller	Boiler, electric
(C) Ref. Case Elec. Boiler FS (Other Fossil Boiler)	Heating (Equip.)	com_hvac_ann_22	com_hvac_ann_22	com_heating_ts_9	com_heating_ts_4	com	Other fossil boiler + RTAC or chiller	Boiler, electric	fossil	Boiler, electric
(C) Ref. Case Elec. Boiler FS (Other Fossil Boiler)	Ventilation	com_hvac_ann_22	com_hvac_ann_22	com_ventilation_4	com_ventilation_4	com	Other fossil boiler + RTAC or chiller	Boiler, electric	RTAC or chiller	Boiler, electric
(C) Ref. Case Electric Other	Other	com_gap_ann_1	com_gap_ann_1	com_gap_ts_1	com_gap_ts_1	com	EIA error	EIA error	Other	Other
(C) Ref. Case Electric Range	Cooking	com_cook_ann_2	com_cook_ann_2	com_cook_ts_1	com_cook_ts_1	com	Range, electric	Range, electric	Range, electric	Range, electric
(C) Ref. Case Electric Range FS	Cooking	com_cook_ann_1	com_cook_ann_1	com_cook_ts_1	com_cook_ts_1	com	Range, fossil	Range, electric	Range, fossil	Range, electric
(C) Ref. Case Fossil Other	Other	com_misc_ann_1	com_misc_ann_1	com_misc_ts_1	com_misc_ts_1	com	Other, fossil	Other, fossil	Other, fossil	Other, fossil
(C) Ref. Case Gas Range	Cooking	com_cook_ann_1	com_cook_ann_1	com_cook_ts_1	com_cook_ts_1	com	Range, fossil	Range, fossil	Range, fossil	Range, fossil
(C) Ref. Case Gas WH	Water Heating	com_wh_ann_1	com_wh_ann_1	com_wh_ts_1	com_wh_ts_1	com	Water heater, fossil	Water heater, fossil	Water heater, fossil	Water heater, fossil
(C) Ref. Case GSHP	Cooling (Equip.)	com_hvac_ann_4	com_hvac_ann_4	com_cooling_ts_8	com_cooling_ts_8	com	GSHP	GSHP	GSHP	GSHP
(C) Ref. Case GSHP	Heating (Equip.)	com_hvac_ann_4	com_hvac_ann_4	com_heating_ts_6	com_heating_ts_6	com	GSHP	GSHP	GSHP	GSHP
(C) Ref. Case GSHP	Ventilation	com_hvac_ann_4	com_hvac_ann_4	com_ventilation_8	com_ventilation_8	com	GSHP	GSHP	GSHP	GSHP
(C) Ref. Case Lighting	Lighting	com_light_ann_1	com_light_ann_1	com_light_ts_1	com_light_ts_1	com	Lighting	Lighting	Lighting	Lighting
(C) Ref. Case Misc. Electric Appliances	Other	com_misc_ann_1	com_misc_ann_1	com_misc_ts_1	com_misc_ts_1	com	Misc. electric appliances	Misc. electric appliances	Misc. electric appliances	Misc. electric appliances
(C) Ref. Case NG Boiler & Chiller	Cooling (Equip.)	com_hvac_ann_9	com_hvac_ann_9	com_cooling_ts_9	com_cooling_ts_9	com	NG boiler + RTAC or chiller	NG boiler + RTAC or chiller	RTAC or chiller	RTAC or chiller
(C) Ref. Case NG Boiler & Chiller	Heating (Equip.)	com_hvac_ann_9	com_hvac_ann_9	com_heating_ts_9	com_heating_ts_4	com	NG boiler + RTAC or chiller	NG boiler + RTAC or chiller	fossil	fossil
