in.census_division_name,Floor area (sf),year,Scout building type,N_bldgs_CDIV
West North Central,825493469,2022,Office,47758.26446
South Atlantic,1218483032,2022,Office,70494.36134
East South Central,380783600,2022,Office,22029.93065
West South Central,1087730591,2022,Office,62929.78343
Mountain,752729981,2022,Office,43548.59106
Pacific,997505615,2022,Office,57709.8896
New England,694176880,2022,Mercantile and Service,53279.68395
Middle Atlantic,2030440430,2022,Mercantile and Service,155841.0075
East North Central,3104118896,2022,Mercantile and Service,238248.3175
West North Central,1850797730,2022,Mercantile and Service,142053.0141
South Atlantic,3074170899,2022,Mercantile and Service,235949.7393
East South Central,1047277954,2022,Mercantile and Service,80381.00951
West South Central,2323263428,2022,Mercantile and Service,178315.8511
Mountain,1633533935,2022,Mercantile and Service,125377.5144
Pacific,1852039306,2022,Mercantile and Service,142148.3079
New England,500926148,2022,Warehouse,28914.81603
Middle Atlantic,2178718505,2022,Warehouse,125761.5419
East North Central,3744482666,2022,Warehouse,216141.6964
West North Central,1531834595,2022,Warehouse,88421.64794
South Atlantic,3432094971,2022,Warehouse,198109.8313
East South Central,1395293213,2022,Warehouse,80540.109
West South Central,2374406494,2022,Warehouse,137057.1834
Mountain,1192805175,2022,Warehouse,68851.95019
Pacific,3193261231,2022,Warehouse,184323.7
New England,390466919,2022,Other,28258.83143
Middle Atlantic,865122864,2022,Other,62610.58234
East North Central,994421509,2022,Other,71968.17049
West North Central,517683167,2022,Other,37465.71256
South Atlantic,1237299926,2022,Other,89545.74214
East South Central,282505768,2022,Other,20445.47819
West South Central,673108704,2022,Other,48714.15343
Mountain,360120788,2022,Other,26062.62438
Pacific,560383606,2022,Other,40556.02431
New England,501917511,2023,Assembly,36818.28456
Middle Atlantic,1188760864,2023,Assembly,87201.85052
East North Central,2351418701,2023,Assembly,172488.907
West North Central,1006300415,2023,Assembly,73817.41865
South Atlantic,2980331543,2023,Assembly,218622.9658
East South Central,801164245,2023,Assembly,58769.60359
West South Central,1534817017,2023,Assembly,112586.8862
Mountain,958610840,2023,Assembly,70319.13794
Pacific,1470848755,2023,Assembly,107894.4783
New England,651198792,2023,Education,20013.63472
Middle Atlantic,1959406494,2023,Education,60219.46957
East North Central,2520340576,2023,Education,77458.95152
West North Central,1500328125,2023,Education,46110.37278
South Atlantic,2473471192,2023,Education,76018.49011
East South Central,856523681,2023,Education,26323.99245
West South Central,1975295532,2023,Education,60707.79573
Mountain,954501465,2023,Education,29335.19518
Pacific,1451246582,2023,Education,44601.92393
New England,84809105,2023,Food Sales ,28269.70167
Middle Atlantic,54677299,2023,Food Sales ,18225.76633
East North Central,280053803,2023,Food Sales ,93351.26767
West North Central,123271888,2023,Food Sales ,41090.62933
South Atlantic,86440361,2023,Food Sales ,28813.45367
East South Central,38578457,2023,Food Sales ,12859.48567
West South Central,129487473,2023,Food Sales ,43162.491
Mountain,97047348,2023,Food Sales ,32349.116
Pacific,117623581,2023,Food Sales ,39207.86033
New England,60802376,2023,Food Services ,14110.25603
Middle Atlantic,76749137,2023,Food Services ,17810.98116
East North Central,215543304,2023,Food Services ,50020.59797
West North Central,63556725,2023,Food Services ,14749.45095
South Atlantic,266757110,2023,Food Services ,61905.65844
East South Central,109868698,2023,Food Services ,25496.95523
West South Central,198444260,2023,Food Services ,46052.4654
Mountain,212559204,2023,Food Services ,49328.08532
Pacific,194462692,2023,Food Services ,45128.47283
New England,94628968,2023,Health Care,3521.315244
Middle Atlantic,278013458,2023,Health Care,10345.38417
East North Central,604470154,2023,Health Care,22493.42895
West North Central,148772293,2023,Health Care,5536.086405
South Atlantic,416453278,2023,Health Care,15496.98055
East South Central,118838348,2023,Health Care,4422.19011
West South Central,249454239,2023,Health Care,9282.643921
Mountain,194536193,2023,Health Care,7239.043989
Pacific,348192048,2023,Health Care,12956.85658
New England,339534057,2023,Lodging,5875.138694
Middle Atlantic,937984192,2023,Lodging,16230.44024
East North Central,1132419067,2023,Lodging,19594.85047
West North Central,623953675,2023,Lodging,10796.60288
South Atlantic,1419133179,2023,Lodging,24556.01752
East South Central,348370239,2023,Lodging,6028.035859
West South Central,825840942,2023,Lodging,14289.96583
Mountain,749237610,2023,Lodging,12964.45756
Pacific,969555359,2023,Lodging,16776.73296
New England,328979493,2023,Office,19032.84547
Middle Atlantic,2078420654,2023,Office,120245.3647
East North Central,1613640015,2023,Office,93355.85256
West North Central,731299133,2023,Office,42308.72648
South Atlantic,2434310547,2023,Office,140835.0899
East South Central,306584198,2023,Office,17737.18358
West South Central,1064644165,2023,Office,61594.13672
Mountain,942545960,2023,Office,54530.24272
Pacific,1463271362,2023,Office,84656.3944
New England,245327804,2023,Office,14193.2439
Middle Atlantic,990138428,2023,Office,57283.66689
East North Central,1500729492,2023,Office,86823.50455
West North Central,827872132,2023,Office,47895.88011
South Atlantic,1230348267,2023,Office,71180.81502
East South Central,382505310,2023,Office,22129.5388
West South Central,1098806885,2023,Office,63570.59356
Mountain,761486695,2023,Office,44055.20374
Pacific,1003413514,2023,Office,58051.68637
New England,696504944,2023,Mercantile and Service,53458.36825
Middle Atlantic,2036094116,2023,Mercantile and Service,156274.941
East North Central,3106389160,2023,Mercantile and Service,238422.5655
West North Central,1857726074,2023,Mercantile and Service,142584.7805
South Atlantic,3099145019,2023,Mercantile and Service,237866.5609
East South Central,1052751954,2023,Mercantile and Service,80801.15169
West South Central,2344803222,2023,Mercantile and Service,179969.0802
Mountain,1643739136,2023,Mercantile and Service,126160.7872
Pacific,1860904541,2023,Mercantile and Service,142828.7352
New England,518947143,2023,Warehouse,29955.03674
Middle Atlantic,2257176025,2023,Warehouse,130290.3228
East North Central,3833576904,2023,Warehouse,221284.4575
West North Central,1586772461,2023,Warehouse,91592.81058
South Atlantic,3537902832,2023,Warehouse,204217.3481
East South Central,1444624390,2023,Warehouse,83387.63835
West South Central,2468530761,2023,Warehouse,142490.2914
Mountain,1243035034,2023,Warehouse,71751.3539
Pacific,3249520264,2023,Warehouse,187571.124
New England,396539673,2023,Other,28698.32816
Middle Atlantic,877947082,2023,Other,63538.69532
East North Central,1003375855,2023,Other,72616.21349
West North Central,525488648,2023,Other,38030.61002
South Atlantic,1252223633,2023,Other,90625.79911
East South Central,286222778,2023,Other,20714.48525
West South Central,683048218,2023,Other,49433.49491
